step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
973.0,[764],[639637.7777777787],[2005287.77777778],[0.0]
974.0,[764],[639637.7777777787],[2005287.77777778],[0.0]
975.0,[764],[639637.7777777787],[2005287.77777778],[0.0]
976.0,[764],[639637.7777777787],[2005287.77777778],[0.0]
977.0,[764],[639637.7777777787],[2005287.77777778],[0.0]
978.0,[764],[639637.7777777787],[2005287.77777778],[0.0]
979.0,[764],[639637.7777777787],[2005287.77777778],[0.0]
980.0,[769],[643823.8888888898],[2018411.388888891],[0.0]
981.0,[769],[643823.8888888898],[2018411.388888891],[0.0]
982.0,[769],[643823.8888888898],[2018411.388888891],[0.0]
983.0,[772],[646335.5555555564],[2026285.5555555578],[0.0]
984.0,[772],[646335.5555555564],[2026285.5555555578],[0.0]
985.0,[772],[646335.5555555564],[2026285.5555555578],[0.0]
986.0,[772],[646335.5555555564],[2026285.5555555578],[0.0]
987.0,[772],[646335.5555555564],[2026285.5555555578],[0.0]
988.0,[772],[646335.5555555564],[2026285.5555555578],[0.0]
989.0,[772],[646335.5555555564],[2026285.5555555578],[0.0]
990.0,[775],[648847.2222222231],[2034159.7222222246],[0.0]
991.0,[775],[648847.2222222231],[2034159.7222222246],[0.0]
992.0,[776],[649684.4444444453],[2036784.4444444468],[0.0]
993.0,[776],[649684.4444444453],[2036784.4444444468],[0.0]
994.0,[781],[653870.5555555564],[2049908.0555555578],[0.0]
995.0,[781],[653870.5555555564],[2049908.0555555578],[0.0]
996.0,[781],[653870.5555555564],[2049908.0555555578],[0.0]
997.0,[784],[656382.2222222231],[2057782.2222222246],[0.0]
998.0,[784],[656382.2222222231],[2057782.2222222246],[0.0]
999.0,[784],[656382.2222222231],[2057782.2222222246],[0.0]
1000.0,[784],[656382.2222222231],[2057782.2222222246],[0.0]
1001.0,[784],[656382.2222222231],[2057782.2222222246],[0.0]
1002.0,[784],[656382.2222222231],[2057782.2222222246],[0.0]
1003.0,[784],[656382.2222222231],[2057782.2222222246],[0.0]
1004.0,[784],[656382.2222222231],[2057782.2222222246],[0.0]
1005.0,[784],[656382.2222222231],[2057782.2222222246],[0.0]
1006.0,[784],[656382.2222222231],[2057782.2222222246],[0.0]
1007.0,[784],[656382.2222222231],[2057782.2222222246],[0.0]
1008.0,[791],[662242.7777777786],[2076155.27777778],[0.0]
1009.0,[792],[663080.0000000008],[2078780.0000000023],[0.0]
1010.0,[792],[663080.0000000008],[2078780.0000000023],[0.0]
1011.0,[795],[665591.6666666674],[2086654.166666669],[0.0]
1012.0,[796],[666428.8888888897],[2089278.8888888913],[0.0]
1013.0,[796],[666428.8888888897],[2089278.8888888913],[0.0]
1014.0,[796],[666428.8888888897],[2089278.8888888913],[0.0]
1015.0,[796],[666428.8888888897],[2089278.8888888913],[0.0]
1016.0,[796],[666428.8888888897],[2089278.8888888913],[0.0]
1017.0,[796],[666428.8888888897],[2089278.8888888913],[0.0]
1018.0,[796],[666428.8888888897],[2089278.8888888913],[0.0]
1019.0,[796],[666428.8888888897],[2089278.8888888913],[0.0]
1020.0,[796],[666428.8888888897],[2089278.8888888913],[0.0]
1021.0,[796],[666428.8888888897],[2089278.8888888913],[0.0]
1022.0,[796],[666428.8888888897],[2089278.8888888913],[0.0]
1023.0,[804],[673126.6666666674],[2110276.6666666693],[0.0]
1024.0,[804],[673126.6666666674],[2110276.6666666693],[0.0]
1025.0,[804],[673126.6666666674],[2110276.6666666693],[0.0]
1026.0,[806],[674801.1111111119],[2115526.111111114],[0.0]
1027.0,[806],[674801.1111111119],[2115526.111111114],[0.0]
1028.0,[807],[675638.3333333342],[2118150.833333336],[0.0]
1029.0,[807],[675638.3333333342],[2118150.833333336],[0.0]
1030.0,[807],[675638.3333333342],[2118150.833333336],[0.0]
1031.0,[808],[676475.5555555564],[2120775.555555558],[0.0]
1032.0,[808],[676475.5555555564],[2120775.555555558],[0.0]
1033.0,[808],[676475.5555555564],[2120775.555555558],[0.0]
1034.0,[808],[676475.5555555564],[2120775.555555558],[0.0]
1035.0,[808],[676475.5555555564],[2120775.555555558],[0.0]
1036.0,[808],[676475.5555555564],[2120775.555555558],[0.0]
1037.0,[813],[680661.6666666676],[2133899.166666669],[0.0]
1038.0,[813],[680661.6666666676],[2133899.166666669],[0.0]
1039.0,[813],[680661.6666666676],[2133899.166666669],[0.0]
