step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
4062.0,[2717],[1996703.9862053944],[6260003.312113565],[0.0]
4063.0,[2717],[1996703.9862053944],[6260003.312113565],[0.0]
4064.0,[2717],[1996703.9862053944],[6260003.312113565],[0.0]
4065.0,[2717],[1996703.9862053944],[6260003.312113565],[0.0]
4066.0,[2718],[1997533.622995949],[6262604.2547903955],[0.0]
4067.0,[2719],[1998351.799535697],[6265169.270841184],[0.0]
4068.0,[2723],[2001336.2275124164],[6274526.04109625],[0.0]
4069.0,[2725],[2002729.833817961],[6278895.229476523],[0.0]
4070.0,[2725],[2002729.833817961],[6278895.229476523],[0.0]
4071.0,[2725],[2002729.833817961],[6278895.229476523],[0.0]
4072.0,[2725],[2002729.833817961],[6278895.229476523],[0.0]
4073.0,[2725],[2002729.833817961],[6278895.229476523],[0.0]
4074.0,[2725],[2002729.833817961],[6278895.229476523],[0.0]
4075.0,[2725],[2002729.833817961],[6278895.229476523],[0.0]
4076.0,[2725],[2002729.833817961],[6278895.229476523],[0.0]
4077.0,[2725],[2002729.833817961],[6278895.229476523],[0.0]
4078.0,[2725],[2002729.833817961],[6278895.229476523],[0.0]
4079.0,[2725],[2002729.833817961],[6278895.229476523],[0.0]
4080.0,[2730],[2006473.5790920048],[6290632.612349238],[0.0]
4081.0,[2733],[2008521.3363463983],[6297052.654030236],[0.0]
4082.0,[2733],[2008521.3363463983],[6297052.654030236],[0.0]
4083.0,[2733],[2008521.3363463983],[6297052.654030236],[0.0]
4084.0,[2733],[2008521.3363463983],[6297052.654030236],[0.0]
4085.0,[2733],[2008521.3363463983],[6297052.654030236],[0.0]
4086.0,[2733],[2008521.3363463983],[6297052.654030236],[0.0]
4087.0,[2733],[2008521.3363463983],[6297052.654030236],[0.0]
4088.0,[2733],[2008521.3363463983],[6297052.654030236],[0.0]
4089.0,[2733],[2008521.3363463983],[6297052.654030236],[0.0]
4090.0,[2733],[2008521.3363463983],[6297052.654030236],[0.0]
4091.0,[2733],[2008521.3363463983],[6297052.654030236],[0.0]
4092.0,[2735],[2009959.428918896],[6301561.344355839],[0.0]
4093.0,[2738],[2012049.756173311],[6308114.757192985],[0.0]
4094.0,[2738],[2012049.756173311],[6308114.757192985],[0.0]
4095.0,[2738],[2012049.756173311],[6308114.757192985],[0.0]
4096.0,[2739],[2012765.7954120683],[6310359.591065585],[0.0]
4097.0,[2739],[2012765.7954120683],[6310359.591065585],[0.0]
4098.0,[2740],[2013574.248661687],[6312894.125751146],[0.0]
4099.0,[2740],[2013574.248661687],[6312894.125751146],[0.0]
4100.0,[2741],[2014378.4483910769],[6315415.3261787435],[0.0]
4101.0,[2741],[2014378.4483910769],[6315415.3261787435],[0.0]
4102.0,[2741],[2014378.4483910769],[6315415.3261787435],[0.0]
4103.0,[2741],[2014378.4483910769],[6315415.3261787435],[0.0]
4104.0,[2747],[2018722.7729977898],[6329035.594827405],[0.0]
4105.0,[2751],[2021586.5666220274],[6338013.961504104],[0.0]
4106.0,[2753],[2022940.3116144699],[6342258.1203202875],[0.0]
4107.0,[2753],[2022940.3116144699],[6342258.1203202875],[0.0]
4108.0,[2753],[2022940.3116144699],[6342258.1203202875],[0.0]
4109.0,[2753],[2022940.3116144699],[6342258.1203202875],[0.0]
4110.0,[2754],[2023647.5618196244],[6344475.403310257],[0.0]
4111.0,[2754],[2023647.5618196244],[6344475.403310257],[0.0]
4112.0,[2754],[2023647.5618196244],[6344475.403310257],[0.0]
4113.0,[2754],[2023647.5618196244],[6344475.403310257],[0.0]
4114.0,[2754],[2023647.5618196244],[6344475.403310257],[0.0]
4115.0,[2754],[2023647.5618196244],[6344475.403310257],[0.0]
4116.0,[2756],[2025219.8143972761],[6349404.744959097],[0.0]
4117.0,[2758],[2026624.5871346532],[6353808.958857013],[0.0]
4118.0,[2758],[2026624.5871346532],[6353808.958857013],[0.0]
4119.0,[2758],[2026624.5871346532],[6353808.958857013],[0.0]
4120.0,[2758],[2026624.5871346532],[6353808.958857013],[0.0]
4121.0,[2758],[2026624.5871346532],[6353808.958857013],[0.0]
4122.0,[2758],[2026624.5871346532],[6353808.958857013],[0.0]
4123.0,[2758],[2026624.5871346532],[6353808.958857013],[0.0]
4124.0,[2758],[2026624.5871346532],[6353808.958857013],[0.0]
4125.0,[2758],[2026624.5871346532],[6353808.958857013],[0.0]
4126.0,[2758],[2026624.5871346532],[6353808.958857013],[0.0]
4127.0,[2758],[2026624.5871346532],[6353808.958857013],[0.0]
4128.0,[2762],[2029723.168918273],[6363523.637668064],[0.0]
4129.0,[2766],[2032469.8740745902],[6372134.996109592],[0.0]
4130.0,[2766],[2032469.8740745902],[6372134.996109592],[0.0]
4131.0,[2766],[2032469.8740745902],[6372134.996109592],[0.0]
4132.0,[2766],[2032469.8740745902],[6372134.996109592],[0.0]
4133.0,[2766],[2032469.8740745902],[6372134.996109592],[0.0]
4134.0,[2766],[2032469.8740745902],[6372134.996109592],[0.0]
4135.0,[2766],[2032469.8740745902],[6372134.996109592],[0.0]
4136.0,[2766],[2032469.8740745902],[6372134.996109592],[0.0]
4137.0,[2766],[2032469.8740745902],[6372134.996109592],[0.0]
4138.0,[2766],[2032469.8740745902],[6372134.996109592],[0.0]
4139.0,[2766],[2032469.8740745902],[6372134.996109592],[0.0]
4140.0,[2770],[2035338.6144570054],[6381129.025967837],[0.0]
4141.0,[2772],[2036689.9802883246],[6385365.764785424],[0.0]
4142.0,[2772],[2036689.9802883246],[6385365.764785424],[0.0]
4143.0,[2772],[2036689.9802883246],[6385365.764785424],[0.0]
4144.0,[2772],[2036689.9802883246],[6385365.764785424],[0.0]
4145.0,[2772],[2036689.9802883246],[6385365.764785424],[0.0]
4146.0,[2772],[2036689.9802883246],[6385365.764785424],[0.0]
4147.0,[2772],[2036689.9802883246],[6385365.764785424],[0.0]
4148.0,[2772],[2036689.9802883246],[6385365.764785424],[0.0]
4149.0,[2772],[2036689.9802883246],[6385365.764785424],[0.0]
4150.0,[2772],[2036689.9802883246],[6385365.764785424],[0.0]
4151.0,[2772],[2036689.9802883246],[6385365.764785424],[0.0]
4152.0,[2776],[2039539.61558801],[6394299.885547143],[0.0]
4153.0,[2780],[2042243.701194741],[6402777.546305613],[0.0]
4154.0,[2780],[2042243.701194741],[6402777.546305613],[0.0]
4155.0,[2780],[2042243.701194741],[6402777.546305613],[0.0]
4156.0,[2780],[2042243.701194741],[6402777.546305613],[0.0]
4157.0,[2780],[2042243.701194741],[6402777.546305613],[0.0]
4158.0,[2781],[2043075.398938845],[6405384.949855238],[0.0]
4159.0,[2782],[2043883.9029407767],[6407919.643643097],[0.0]
4160.0,[2782],[2043883.9029407767],[6407919.643643097],[0.0]
4161.0,[2782],[2043883.9029407767],[6407919.643643097],[0.0]
4162.0,[2782],[2043883.9029407767],[6407919.643643097],[0.0]
4163.0,[2782],[2043883.9029407767],[6407919.643643097],[0.0]
4164.0,[2784],[2045302.1296696772],[6412366.043295468],[0.0]
4165.0,[2786],[2046639.115300948],[6416557.682988987],[0.0]
4166.0,[2786],[2046639.115300948],[6416557.682988987],[0.0]
4167.0,[2786],[2046639.115300948],[6416557.682988987],[0.0]
4168.0,[2786],[2046639.115300948],[6416557.682988987],[0.0]
4169.0,[2786],[2046639.115300948],[6416557.682988987],[0.0]
4170.0,[2786],[2046639.115300948],[6416557.682988987],[0.0]
4171.0,[2786],[2046639.115300948],[6416557.682988987],[0.0]
4172.0,[2786],[2046639.115300948],[6416557.682988987],[0.0]
4173.0,[2786],[2046639.115300948],[6416557.682988987],[0.0]
4174.0,[2786],[2046639.115300948],[6416557.682988987],[0.0]
4175.0,[2786],[2046639.115300948],[6416557.682988987],[0.0]
4176.0,[2792],[2051265.6560213747],[6431062.818811619],[0.0]
4177.0,[2796],[2054063.1321503813],[6439833.3704116205],[0.0]
4178.0,[2796],[2054063.1321503813],[6439833.3704116205],[0.0]
4179.0,[2796],[2054063.1321503813],[6439833.3704116205],[0.0]
4180.0,[2796],[2054063.1321503813],[6439833.3704116205],[0.0]
4181.0,[2796],[2054063.1321503813],[6439833.3704116205],[0.0]
4182.0,[2796],[2054063.1321503813],[6439833.3704116205],[0.0]
4183.0,[2796],[2054063.1321503813],[6439833.3704116205],[0.0]
4184.0,[2796],[2054063.1321503813],[6439833.3704116205],[0.0]
4185.0,[2797],[2054866.305894462],[6442351.354505036],[0.0]
4186.0,[2797],[2054866.305894462],[6442351.354505036],[0.0]
4187.0,[2797],[2054866.305894462],[6442351.354505036],[0.0]
4188.0,[2799],[2056347.8480223978],[6446996.280568115],[0.0]
4189.0,[2801],[2057704.8168899182],[6451250.593751284],[0.0]
