step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
2780.0,[1857],[1368930.1117616321],[4291827.112974838],[0.0]
2781.0,[1857],[1368930.1117616321],[4291827.112974838],[0.0]
2782.0,[1857],[1368930.1117616321],[4291827.112974838],[0.0]
2783.0,[1857],[1368930.1117616321],[4291827.112974838],[0.0]
2784.0,[1862],[1372655.8028785938],[4303507.889051978],[0.0]
2785.0,[1865],[1374708.794289124],[4309944.336969416],[0.0]
2786.0,[1865],[1374708.794289124],[4309944.336969416],[0.0]
2787.0,[1865],[1374708.794289124],[4309944.336969416],[0.0]
2788.0,[1865],[1374708.794289124],[4309944.336969416],[0.0]
2789.0,[1865],[1374708.794289124],[4309944.336969416],[0.0]
2790.0,[1865],[1374708.794289124],[4309944.336969416],[0.0]
2791.0,[1865],[1374708.794289124],[4309944.336969416],[0.0]
2792.0,[1865],[1374708.794289124],[4309944.336969416],[0.0]
2793.0,[1865],[1374708.794289124],[4309944.336969416],[0.0]
2794.0,[1865],[1374708.794289124],[4309944.336969416],[0.0]
2795.0,[1865],[1374708.794289124],[4309944.336969416],[0.0]
2796.0,[1867],[1376182.9678733526],[4314566.14737089],[0.0]
2797.0,[1869],[1377581.4915814812],[4318950.735818864],[0.0]
2798.0,[1869],[1377581.4915814812],[4318950.735818864],[0.0]
2799.0,[1869],[1377581.4915814812],[4318950.735818864],[0.0]
2800.0,[1869],[1377581.4915814812],[4318950.735818864],[0.0]
2801.0,[1869],[1377581.4915814812],[4318950.735818864],[0.0]
2802.0,[1869],[1377581.4915814812],[4318950.735818864],[0.0]
2803.0,[1869],[1377581.4915814812],[4318950.735818864],[0.0]
2804.0,[1869],[1377581.4915814812],[4318950.735818864],[0.0]
2805.0,[1869],[1377581.4915814812],[4318950.735818864],[0.0]
2806.0,[1869],[1377581.4915814812],[4318950.735818864],[0.0]
2807.0,[1871],[1379250.452735003],[4324182.990704168],[0.0]
2808.0,[1877],[1383708.811783639],[4338160.802942814],[0.0]
2809.0,[1881],[1386490.8584903788],[4346882.987209657],[0.0]
2810.0,[1881],[1386490.8584903788],[4346882.987209657],[0.0]
2811.0,[1881],[1386490.8584903788],[4346882.987209657],[0.0]
2812.0,[1881],[1386490.8584903788],[4346882.987209657],[0.0]
2813.0,[1881],[1386490.8584903788],[4346882.987209657],[0.0]
2814.0,[1881],[1386490.8584903788],[4346882.987209657],[0.0]
2815.0,[1881],[1386490.8584903788],[4346882.987209657],[0.0]
2816.0,[1881],[1386490.8584903788],[4346882.987209657],[0.0]
2817.0,[1881],[1386490.8584903788],[4346882.987209657],[0.0]
2818.0,[1881],[1386490.8584903788],[4346882.987209657],[0.0]
2819.0,[1881],[1386490.8584903788],[4346882.987209657],[0.0]
2820.0,[1883],[1387920.4557063559],[4351365.040057017],[0.0]
2821.0,[1885],[1389264.7799711481],[4355579.698827199],[0.0]
2822.0,[1885],[1389264.7799711481],[4355579.698827199],[0.0]
2823.0,[1885],[1389264.7799711481],[4355579.698827199],[0.0]
2824.0,[1885],[1389264.7799711481],[4355579.698827199],[0.0]
2825.0,[1885],[1389264.7799711481],[4355579.698827199],[0.0]
2826.0,[1885],[1389264.7799711481],[4355579.698827199],[0.0]
2827.0,[1885],[1389264.7799711481],[4355579.698827199],[0.0]
2828.0,[1885],[1389264.7799711481],[4355579.698827199],[0.0]
2829.0,[1885],[1389264.7799711481],[4355579.698827199],[0.0]
2830.0,[1886],[1390063.8895862084],[4358084.942399701],[0.0]
2831.0,[1886],[1390063.8895862084],[4358084.942399701],[0.0]
2832.0,[1892],[1394350.8538003254],[4371525.366226528],[0.0]
2833.0,[1894],[1395687.36075003],[4375715.502733936],[0.0]
2834.0,[1894],[1395687.36075003],[4375715.502733936],[0.0]
2835.0,[1894],[1395687.36075003],[4375715.502733936],[0.0]
