step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
3557.0,[1204],[1265410.7819090395],[3977716.777558277],[7092.0]
3564.0,[1208],[1268912.9307214697],[3988696.9166524103],[7166.0]
3569.0,[1211],[1268912.9307214697],[3988696.9166524103],[7175.0]
3576.0,[1214],[1272888.1588693794],[4001158.817972902],[7178.0]
3581.0,[1215],[1275530.490022534],[4009443.2414482096],[7178.0]
3588.0,[1221],[1280540.2267143049],[4025150.155558616],[7185.0]
3593.0,[1222],[1283825.971019256],[4035451.918354757],[7266.0]
3600.0,[1226],[1284577.3257549999],[4037807.5112869064],[7266.0]
3605.0,[1228],[1284577.3257549999],[4037807.5112869064],[7271.0]
3612.0,[1230],[1286198.751706792],[4042890.778319023],[7271.0]
3617.0,[1232],[1286198.751706792],[4042890.778319023],[7271.0]
3624.0,[1234],[1293226.6518695727],[4064925.286396877],[7277.0]
3629.0,[1237],[1296703.563450121],[4075826.2281617243],[7295.0]
3636.0,[1240],[1296703.563450121],[4075826.2281617243],[7317.0]
3641.0,[1244],[1299776.5487378396],[4085460.921506604],[7399.0]
3648.0,[1245],[1301215.9347640588],[4089973.761216991],[7399.0]
3653.0,[1246],[1301215.9347640588],[4089973.761216991],[7399.0]
3660.0,[1246],[1301215.9347640588],[4089973.761216991],[7399.0]
3665.0,[1247],[1301215.9347640588],[4089973.761216991],[7399.0]
3672.0,[1251],[1302589.7422175505],[4094280.453735142],[7407.0]
3677.0,[1254],[1305353.0434874247],[4102944.04562201],[7407.0]
3684.0,[1254],[1305353.0434874247],[4102944.04562201],[7407.0]
3689.0,[1257],[1307068.9895026346],[4108323.8936345093],[7410.0]
3696.0,[1257],[1307068.9895026346],[4108323.8936345093],[7410.0]
3701.0,[1260],[1309095.6358400085],[4114677.9372308133],[7423.0]
3708.0,[1263],[1310968.0763885793],[4120548.257913569],[7423.0]
3713.0,[1264],[1316821.196431969],[4138899.524893357],[7423.0]
3720.0,[1267],[1319578.2332438668],[4147543.525289862],[7425.0]
3725.0,[1268],[1319578.2332438668],[4147543.525289862],[7449.0]
3732.0,[1272],[1325802.1188765774],[4167057.277071208],[7455.0]
3739.0,[1275],[1330876.439741941],[4182966.749447548],[7472.0]
3746.0,[1275],[1330876.439741941],[4182966.749447548],[7472.0]
3751.0,[1278],[1335394.278783104],[4197129.683361099],[7548.0]
3758.0,[1283],[1336346.4899327238],[4200115.010199932],[7548.0]
3763.0,[1286],[1347857.9219951935],[4236203.948432873],[7579.0]
3770.0,[1289],[1349434.425183242],[4241146.656197956],[7579.0]
3775.0,[1290],[1349434.425183242],[4241146.656197956],[7579.0]
3782.0,[1293],[1358850.6100395818],[4270669.158293248],[7581.0]
3787.0,[1295],[1358850.6100395818],[4270669.158293248],[7581.0]
3794.0,[1298],[1358850.6100395818],[4270669.158293248],[7581.0]
3799.0,[1298],[1358850.6100395818],[4270669.158293248],[7581.0]
3806.0,[1303],[1358850.6100395818],[4270669.158293248],[7581.0]
3811.0,[1305],[1364598.1606436956],[4288688.277153006],[7602.0]
3818.0,[1307],[1367634.093194449],[4298206.7853834955],[7609.0]
3823.0,[1308],[1367634.093194449],[4298206.7853834955],[7610.0]
3830.0,[1309],[1367634.093194449],[4298206.7853834955],[7610.0]
3835.0,[1310],[1369154.9710539258],[4302975.0963278795],[7610.0]
3842.0,[1310],[1369154.9710539258],[4302975.0963278795],[7610.0]
3847.0,[1312],[1371241.279978074],[4309516.381894841],[7610.0]
3854.0,[1312],[1371241.279978074],[4309516.381894841],[7610.0]
3859.0,[1316],[1376262.8073887746],[4325260.115738881],[7610.0]
3866.0,[1318],[1384452.2494976632],[4350936.399068185],[7611.0]
3871.0,[1323],[1386429.8794173966],[4357136.778109569],[7611.0]
3878.0,[1324],[1387866.420688457],[4361640.696363281],[7611.0]
3883.0,[1327],[1389551.7891164552],[4366924.755299432],[7611.0]
3890.0,[1327],[1389551.7891164552],[4366924.755299432],[7611.0]
3895.0,[1329],[1392463.88033997],[4376054.975343215],[7622.0]
3902.0,[1333],[1395362.9675912866],[4385144.439822279],[7632.0]
3907.0,[1334],[1395362.9675912866],[4385144.439822279],[7635.0]
3914.0,[1335],[1401684.547049865],[4404964.483675117],[7638.0]
3919.0,[1338],[1401684.547049865],[4404964.483675117],[7647.0]
3926.0,[1341],[1402942.3734177593],[4408908.082033238],[7656.0]
3931.0,[1344],[1403979.620510843],[4412160.061123081],[7660.0]
3938.0,[1347],[1410136.8122843506],[4431462.410471072],[7670.0]
3945.0,[1350],[1413143.1420410536],[4440888.06490702],[7675.0]
3952.0,[1353],[1413143.1420410536],[4440888.06490702],[7681.0]
3959.0,[1359],[1419496.2651391556],[4460806.884520224],[7828.0]
3966.0,[1364],[1427367.0885678192],[4485484.119465964],[7874.0]
3971.0,[1367],[1427367.0885678192],[4485484.119465964],[7892.0]
3978.0,[1371],[1427965.718046684],[4487360.927017296],[7904.0]
3983.0,[1373],[1428734.0765726678],[4489769.885772836],[7904.0]
3990.0,[1376],[1432588.565092949],[4501853.340264865],[7904.0]
3995.0,[1378],[1432588.565092949],[4501853.340264865],[7904.0]
4002.0,[1379],[1435030.0808040607],[4509508.158394949],[7904.0]
4007.0,[1383],[1436622.227880285],[4514499.915177516],[8078.0]
4014.0,[1386],[1436622.227880285],[4514499.915177516],[8079.0]
4019.0,[1389],[1436622.227880285],[4514499.915177516],[8091.0]
4026.0,[1392],[1449436.6429440351],[4555065.364587383],[8120.0]
4031.0,[1394],[1450133.3862305111],[4557249.746647351],[8120.0]
4038.0,[1394],[1450133.3862305111],[4557249.746647351],[8120.0]
4043.0,[1396],[1451240.4685163146],[4560720.712954881],[8120.0]
4050.0,[1399],[1454211.522775854],[4570034.859920363],[8120.0]
4055.0,[1403],[1459835.9750441874],[4587669.004565887],[8123.0]
4062.0,[1407],[1461180.366438054],[4591883.957865212],[8145.0]
4067.0,[1413],[1465878.5419359417],[4606612.982457714],[8148.0]
4074.0,[1416],[1474713.134457723],[4634697.301524699],[8158.0]
4079.0,[1420],[1477870.7766168278],[4644596.824987095],[8164.0]
4086.0,[1424],[1477870.7766168278],[4644596.824987095],[8170.0]
4091.0,[1426],[1480558.6498181813],[4653024.03149613],[8171.0]
4098.0,[1431],[1491072.9003886972],[4685989.280434093],[8378.0]
4103.0,[1435],[1493230.5289803054],[4692753.966333567],[8385.0]
4110.0,[1438],[1493230.5289803054],[4692753.966333567],[8385.0]
4115.0,[1439],[1495108.099880573],[4698640.624436974],[8392.0]
4122.0,[1441],[1499445.8023442824],[4712239.812280912],[8400.0]
4127.0,[1441],[1499445.8023442824],[4712239.812280912],[8400.0]
4134.0,[1444],[1504657.7780026102],[4728715.151680023],[8413.0]
4139.0,[1446],[1504657.7780026102],[4728715.151680023],[8413.0]
4146.0,[1450],[1505444.7806303548],[4731182.570620002],[8423.0]
4151.0,[1453],[1505917.758847536],[4732665.265519552],[8424.0]
4158.0,[1454],[1505917.758847536],[4732665.265519552],[8425.0]
4163.0,[1456],[1507419.5291071436],[4737373.680456675],[8432.0]
4170.0,[1459],[1508618.3294881145],[4741132.218216949],[8432.0]
4175.0,[1460],[1508618.3294881145],[4741132.218216949],[8435.0]
4182.0,[1463],[1514349.4716383126],[4759101.068379799],[8443.0]
4187.0,[1466],[1522065.2799220756],[4783288.787839401],[8471.0]
4194.0,[1473],[1527513.2298092865],[4800368.848089117],[8471.0]
4199.0,[1476],[1528196.1095895562],[4802509.801708645],[8496.0]
4206.0,[1480],[1528196.1095895562],[4802509.801708645],[8510.0]
4211.0,[1484],[1528196.1095895562],[4802509.801708645],[8560.0]
4218.0,[1488],[1528196.1095895562],[4802509.801708645],[8562.0]
4223.0,[1492],[1533336.0355305795],[4818622.99824311],[8599.0]
4230.0,[1495],[1533336.0355305795],[4818622.99824311],[8624.0]
4235.0,[1495],[1533336.0355305795],[4818622.99824311],[8624.0]
4242.0,[1496],[1535231.2382522027],[4824564.938424121],[8624.0]
4247.0,[1496],[1535231.2382522027],[4824564.938424121],[8624.0]
4254.0,[1499],[1545494.0045161413],[4856741.725495504],[8662.0]
4259.0,[1500],[1545494.0045161413],[4856741.725495504],[8662.0]
4266.0,[1508],[1550783.2630178148],[4873325.013081845],[9013.0]
4271.0,[1513],[1559279.1419452794],[4899961.957913575],[9118.0]
4278.0,[1515],[1560375.2361724998],[4903398.60590946],[9123.0]
