step,agent_total_vehicles_passed,agent_total_stopped,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
1596.0,[749],[246],[466189.52343562973],[1461608.744367587],[0.0]
1603.0,[752],[246],[467869.2723268243],[1466875.1157074927],[0.0]
1608.0,[755],[246],[468541.63408384804],[1468983.0711812603],[0.0]
1615.0,[758],[249],[470477.6329026782],[1475052.7666232863],[0.0]
1620.0,[760],[249],[473114.07226677384],[1483318.6605880521],[0.0]
1627.0,[763],[250],[475001.26286900975],[1489235.425450585],[0.0]
1634.0,[765],[252],[476606.4488318502],[1494268.0013301966],[0.0]
1639.0,[769],[252],[477690.8916878035],[1497667.8886064219],[0.0]
1646.0,[772],[253],[479912.4937521613],[1504633.1208582718],[0.0]
1651.0,[774],[254],[481445.84457035],[1509440.4734107086],[0.0]
1658.0,[778],[254],[483118.74492769904],[1514685.3722990907],[0.0]
1665.0,[781],[255],[484769.11014931765],[1519859.703111162],[0.0]
1670.0,[783],[255],[485533.3248998815],[1522255.6600629347],[0.0]
1677.0,[787],[258],[489174.7743261952],[1533672.3927777698],[0.0]
1682.0,[789],[258],[489174.7743261952],[1533672.3927777698],[0.0]
1689.0,[792],[259],[492299.7277233796],[1543469.937121803],[0.0]
1696.0,[795],[261],[494818.4163006647],[1551366.548763604],[0.0]
1703.0,[800],[262],[498284.03900804056],[1562232.017278778],[0.0]
1708.0,[800],[262],[498284.03900804056],[1562232.017278778],[0.0]
1715.0,[804],[264],[501820.196774664],[1573318.719651269],[0.0]
1720.0,[807],[264],[502660.01923355577],[1575951.7476374346],[0.0]
1727.0,[810],[265],[506167.1498966226],[1586947.5352938052],[0.0]
1732.0,[813],[265],[507585.5666458566],[1591394.549285577],[0.0]
1739.0,[816],[267],[510594.42540275934],[1600828.0136816576],[0.0]
1744.0,[818],[268],[511990.78193256044],[1605205.849130483],[0.0]
1751.0,[821],[269],[512674.3384637646],[1607348.929853579],[0.0]
1756.0,[823],[269],[512674.3384637646],[1607348.929853579],[0.0]
1763.0,[827],[272],[513396.12677575776],[1609611.862823665],[0.0]
1768.0,[829],[272],[514134.9910943902],[1611928.34737504],[0.0]
1775.0,[831],[276],[516478.05695701245],[1619274.4227707535],[0.0]
1782.0,[836],[277],[518316.1421647368],[1625037.1369288343],[0.0]
1789.0,[839],[279],[520152.84339047235],[1630795.593850721],[0.0]
1794.0,[841],[279],[521141.5119103764],[1633895.2877126844],[0.0]
1801.0,[845],[282],[524242.5785662435],[1643617.7419891136],[0.0]
1806.0,[848],[282],[524967.0478966939],[1645889.0912651005],[0.0]
1813.0,[850],[283],[525683.112449511],[1648134.087180446],[0.0]
1820.0,[853],[284],[527863.7641854694],[1654970.9298235902],[0.0]
1827.0,[858],[286],[531135.5797361381],[1665228.7509462389],[0.0]
1832.0,[859],[286],[531858.2165870725],[1667494.3544651035],[0.0]
1839.0,[862],[288],[534663.6091044884],[1676289.877071349],[0.0]
1844.0,[866],[288],[538278.210637891],[1687622.4553908005],[0.0]
1851.0,[868],[290],[539539.560251074],[1691577.1025953393],[0.0]
1858.0,[871],[292],[542455.7002437643],[1700719.9322743213],[0.0]
1863.0,[872],[293],[543147.1886641781],[1702887.8754494432],[0.0]
1870.0,[876],[295],[547731.2595336855],[1717260.0281436883],[0.0]
1875.0,[879],[295],[549832.1564743654],[1723846.8049849751],[0.0]
1882.0,[882],[297],[553590.6662325806],[1735630.649310986],[0.0]
1889.0,[886],[298],[555913.2854864824],[1742912.515334949],[0.0]
1894.0,[889],[298],[559196.7374006012],[1753206.9079363456],[0.0]
1901.0,[892],[300],[560630.454698337],[1757701.8900829728],[0.0]
1906.0,[894],[301],[561368.2727404761],[1760015.0940681705],[0.0]
1913.0,[897],[302],[562515.365544213],[1763611.389121264],[0.0]
1918.0,[899],[302],[562515.365544213],[1763611.389121264],[0.0]
1925.0,[902],[305],[563670.8151693426],[1767233.9993087049],[0.0]
1930.0,[906],[305],[566165.0655903801],[1775053.9840618446],[0.0]
1937.0,[908],[306],[568694.9306126864],[1782985.7208377223],[0.0]
1944.0,[911],[308],[569897.9470370328],[1786757.3694592484],[0.0]
1951.0,[915],[309],[571281.2226858822],[1791094.2047179544],[0.0]
1956.0,[917],[309],[572083.4030102929],[1793609.211105582],[0.0]
1963.0,[920],[312],[573702.8170002192],[1798686.4002722315],[0.0]
1968.0,[924],[312],[575688.1066921635],[1804910.7249095489],[0.0]
1975.0,[926],[313],[576250.3379325983],[1806673.4100946994],[0.0]
1982.0,[929],[315],[576986.1199079544],[1808980.2332817533],[0.0]
1989.0,[933],[315],[579203.4860691259],[1815932.196010629],[0.0]
1994.0,[934],[315],[579203.4860691259],[1815932.196010629],[0.0]
2001.0,[938],[318],[583343.8936133356],[1828913.316760346],[0.0]
2006.0,[940],[318],[583343.8936133356],[1828913.316760346],[0.0]
2013.0,[944],[319],[586249.5127631465],[1838023.0810718914],[0.0]
2020.0,[947],[320],[588077.3925970255],[1843753.8734134198],[0.0]
2027.0,[950],[322],[589898.0383138179],[1849461.9887231393],[0.0]
2034.0,[954],[322],[591329.5368803529],[1853950.0009846354],[0.0]
2039.0,[955],[323],[591329.5368803529],[1853950.0009846354],[0.0]
2046.0,[958],[325],[593478.7077355018],[1860688.1403507146],[0.0]
2051.0,[961],[325],[594190.6801689756],[1862920.3061002488],[0.0]
2058.0,[965],[326],[598314.2249985154],[1875848.567156889],[0.0]
2063.0,[968],[326],[600306.0373288431],[1882093.3366785143],[0.0]
2070.0,[971],[329],[601015.8199359233],[1884318.635229304],[0.0]
2075.0,[973],[329],[602425.5889744963],[1888738.5157411713],[0.0]
2082.0,[976],[330],[604957.772550298],[1896677.4326044095],[0.0]
2087.0,[978],[330],[605447.920169087],[1898214.1116443987],[0.0]
2094.0,[982],[333],[610738.8561463119],[1914802.6015643133],[0.0]
2099.0,[985],[333],[613470.9294854389],[1923368.2322945283],[0.0]
2106.0,[987],[335],[614211.9852218587],[1925691.5879573345],[0.0]
2113.0,[991],[335],[614929.4576423636],[1927940.9982906727],[0.0]
2118.0,[993],[335],[616515.9554449755],[1932914.9867255965],[0.0]
2125.0,[996],[338],[618921.6163046206],[1940457.217104718],[0.0]
2130.0,[998],[338],[621492.2387677031],[1948516.750320997],[0.0]
2137.0,[1003],[339],[625664.3767377067],[1961597.354504201],[0.0]
2144.0,[1005],[340],[628714.3456295652],[1971159.776047423],[0.0]
2151.0,[1008],[342],[631384.4382176383],[1979531.1780335368],[0.0]
