step,agent_total_vehicles_passed,agent_total_stopped,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
3307.0,[1548],[532],[990629.043124145],[3105842.4395051403],[0.0]
3312.0,[1552],[533],[993289.2512053143],[3114182.7647215845],[0.0]
3319.0,[1555],[533],[994838.3097409944],[3119039.4622451174],[0.0]
3324.0,[1557],[533],[994838.3097409944],[3119039.4622451174],[0.0]
3331.0,[1561],[535],[996465.669878437],[3124141.569554712],[0.0]
3336.0,[1562],[535],[997286.2709230935],[3126714.3088786723],[0.0]
3343.0,[1566],[536],[1001608.6671181654],[3140266.043930744],[0.0]
3350.0,[1569],[538],[1005948.6952347055],[3153873.1265459517],[0.0]
3355.0,[1572],[538],[1006708.2825269297],[3156254.5726258084],[0.0]
3362.0,[1575],[541],[1009239.7763616758],[3164191.4356249077],[0.0]
3367.0,[1578],[541],[1010672.8103604469],[3168684.2693610596],[0.0]
3374.0,[1581],[543],[1013614.0859169244],[3177905.8431580663],[0.0]
3379.0,[1583],[543],[1014962.7170102882],[3182134.057254177],[0.0]
3386.0,[1586],[545],[1016207.212016356],[3186035.850553398],[0.0]
3391.0,[1588],[545],[1017109.7175405172],[3188865.3887088173],[0.0]
3398.0,[1592],[546],[1022649.0125380198],[3206232.483497262],[0.0]
3403.0,[1594],[547],[1023341.8227909938],[3208404.563181213],[0.0]
3410.0,[1597],[549],[1024759.1389823932],[3212848.1133798775],[0.0]
3415.0,[1600],[549],[1027016.7517187714],[3219926.270133115],[0.0]
3422.0,[1604],[550],[1028699.8483342942],[3225203.1131140017],[0.0]
3427.0,[1606],[550],[1029413.2465664598],[3227439.7486655503],[0.0]
3434.0,[1609],[552],[1030438.2933786637],[3230653.4045165298],[0.0]
3439.0,[1611],[552],[1030945.8157273016],[3232244.563997082],[0.0]
3446.0,[1614],[553],[1034680.6413347878],[3243954.1656942395],[0.0]
3451.0,[1617],[554],[1035612.8708261254],[3246876.8206252293],[0.0]
3458.0,[1620],[556],[1036957.9308477964],[3251093.9176435433],[0.0]
3463.0,[1623],[556],[1038467.4185150173],[3255826.45388647],[0.0]
3470.0,[1626],[556],[1039230.7859345003],[3258219.7664792724],[0.0]
3477.0,[1629],[558],[1041240.7768404947],[3264521.442194758],[0.0]
3482.0,[1631],[559],[1042096.5463788152],[3267204.4616399673],[0.0]
3489.0,[1635],[560],[1044552.015830912],[3274902.871421051],[0.0]
3494.0,[1637],[560],[1045316.8195915928],[3277300.6875452925],[0.0]
3501.0,[1641],[560],[1046107.3183601963],[3279779.046805607],[0.0]
3508.0,[1644],[561],[1047405.7825228038],[3283849.959591781],[0.0]
3515.0,[1646],[563],[1047405.7825228038],[3283849.959591781],[0.0]
3522.0,[1650],[564],[1051256.8223415304],[3295923.8153442247],[0.0]
3527.0,[1652],[564],[1052263.2844995225],[3299079.2936272128],[0.0]
3534.0,[1655],[566],[1055962.7823779688],[3310678.136072347],[0.0]
3539.0,[1658],[566],[1058834.6770377792],[3319682.1766428975],[0.0]
3546.0,[1662],[567],[1060406.0754627057],[3324608.819989388],[0.0]
3553.0,[1664],[569],[1061067.3579941401],[3326682.0473861895],[0.0]
3560.0,[1668],[570],[1062653.9827844943],[3331656.422973847],[0.0]
3565.0,[1671],[571],[1063364.6411274823],[3333884.46745083],[0.0]
3572.0,[1673],[574],[1064156.70564718],[3336367.756956912],[0.0]
3577.0,[1675],[574],[1066067.479771613],[3342358.5532578994],[0.0]
3584.0,[1679],[574],[1068837.9222922812],[3351044.483233779],[0.0]
3589.0,[1681],[574],[1071561.0457008427],[3359582.163320902],[0.0]
3596.0,[1685],[576],[1073912.3978089283],[3366954.213418763],[0.0]
3601.0,[1689],[576],[1076831.500915754],[3376106.1626423514],[0.0]
