step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
0.0,[0],[0.0],[0.0],[0.0]
7.0,[0],[0.0],[0.0],[0.0]
12.0,[0],[0.0],[0.0],[0.0]
19.0,[0],[0.0],[0.0],[0.0]
24.0,[0],[0.0],[0.0],[0.0]
31.0,[2],[718.2426425095738],[2251.8253877991087],[0.0]
36.0,[2],[718.2426425095738],[2251.8253877991087],[0.0]
43.0,[4],[8995.562606188503],[28203.655172498795],[0.0]
48.0,[5],[8995.562606188503],[28203.655172498795],[0.0]
55.0,[5],[8995.562606188503],[28203.655172498795],[0.0]
60.0,[8],[12109.857405235727],[37967.6117258156],[0.0]
67.0,[9],[17095.083295892335],[53597.78783651863],[0.0]
72.0,[11],[18731.38672260253],[58728.03179973935],[0.0]
79.0,[11],[18731.38672260253],[58728.03179973935],[0.0]
84.0,[11],[18731.38672260253],[58728.03179973935],[0.0]
91.0,[12],[18731.38672260253],[58728.03179973935],[0.0]
98.0,[14],[19532.643378074707],[61240.14381182979],[0.0]
103.0,[17],[20709.416633999375],[64929.586299539704],[0.0]
110.0,[20],[22431.989399737886],[70330.3090378822],[6.0]
115.0,[21],[22431.989399737886],[70330.3090378822],[6.0]
122.0,[22],[29034.94287234236],[91032.54945601463],[7.0]
129.0,[27],[34415.09423613767],[107900.92977948725],[12.0]
134.0,[30],[39673.23171269228],[124386.60143940685],[14.0]
141.0,[32],[44711.99414824917],[140184.52011434446],[25.0]
146.0,[36],[47971.62223315416],[150404.39059831697],[25.0]
153.0,[37],[49008.204730281686],[153654.31577171298],[25.0]
158.0,[39],[51238.192946133466],[160645.90241567147],[25.0]
165.0,[40],[51238.192946133466],[160645.90241567147],[25.0]
170.0,[42],[54909.58642822622],[172156.69395769443],[33.0]
177.0,[44],[58252.13678898084],[182636.44744124883],[88.0]
184.0,[46],[58252.13678898084],[182636.44744124883],[92.0]
191.0,[46],[58252.13678898084],[182636.44744124883],[92.0]
196.0,[49],[64014.033564540354],[200701.1882123346],[92.0]
203.0,[50],[64014.033564540354],[200701.1882123346],[92.0]
208.0,[52],[66919.3543986631],[209809.2687506457],[92.0]
215.0,[53],[66919.3543986631],[209809.2687506457],[106.0]
220.0,[54],[70891.7393685409],[222263.86687252595],[106.0]
227.0,[56],[71862.86553929519],[225308.56165283849],[115.0]
232.0,[61],[73571.1168837036],[230664.35310896198],[115.0]
239.0,[63],[77502.44424116405],[242988.7720324378],[115.0]
244.0,[67],[83187.23406589456],[260811.51000840403],[115.0]
251.0,[69],[87585.46689109378],[274601.1872324609],[115.0]
256.0,[71],[87585.46689109378],[274601.1872324609],[116.0]
263.0,[73],[91455.98346592252],[286735.0537596384],[116.0]
268.0,[73],[91455.98346592252],[286735.0537596384],[116.0]
275.0,[77],[92224.02263252586],[289143.00620187516],[117.0]
280.0,[79],[94967.19616815308],[297742.6340281157],[117.0]
287.0,[84],[101998.20743148007],[319786.4396334919],[119.0]
292.0,[85],[101998.20743148007],[319786.4396334919],[119.0]
299.0,[88],[101998.20743148007],[319786.4396334919],[121.0]
304.0,[91],[108984.26120894827],[341689.6482950034],[152.0]
311.0,[93],[108984.26120894827],[341689.6482950034],[152.0]
316.0,[96],[108984.26120894827],[341689.6482950034],[158.0]
323.0,[100],[111701.62989766097],[350209.5166671976],[158.0]
328.0,[102],[112633.02336876035],[353129.6390580967],[189.0]
335.0,[104],[112633.02336876035],[353129.6390580967],[189.0]
340.0,[108],[114548.21238333288],[359134.23896923574],[191.0]
347.0,[111],[115759.7293633203],[362932.6234875282],[207.0]
352.0,[114],[115759.7293633203],[362932.6234875282],[207.0]
359.0,[117],[122056.54506425724],[382673.33594441257],[276.0]
364.0,[120],[122056.54506425724],[382673.33594441257],[293.0]
371.0,[124],[122744.86898247697],[384831.34628225607],[293.0]
376.0,[127],[128461.13800025838],[402753.4035627697],[325.0]
383.0,[128],[129086.20678764427],[404713.0833374881],[325.0]
388.0,[131],[129086.20678764427],[404713.0833374881],[331.0]
395.0,[134],[130726.32879460418],[409855.29257201403],[333.0]
400.0,[137],[131409.06975277138],[411995.81179133063],[338.0]
407.0,[140],[133000.4313835325],[416984.83134800545],[344.0]
412.0,[142],[133000.4313835325],[416984.83134800545],[350.0]
419.0,[145],[135582.50949635485],[425080.37994093966],[366.0]
424.0,[147],[135582.50949635485],[425080.37994093966],[366.0]
431.0,[150],[138473.55019797175],[434143.3351704909],[367.0]
436.0,[151],[138473.55019797175],[434143.3351704909],[367.0]
443.0,[156],[144176.12964898234],[452022.3656912387],[425.0]
448.0,[161],[146608.50800062917],[459648.44054866006],[425.0]
455.0,[163],[149142.9421663415],[467594.5907577615],[471.0]
460.0,[163],[149142.9421663415],[467594.5907577615],[471.0]
467.0,[168],[149142.9421663415],[467594.5907577615],[492.0]
472.0,[171],[150000.60009798073],[470283.3978293912],[492.0]
479.0,[174],[151884.9274262706],[476191.267674279],[541.0]
484.0,[177],[154417.11539675834],[484130.66370588215],[548.0]
491.0,[179],[161488.7633563587],[506302.3144449096],[550.0]
496.0,[184],[175607.5652802115],[550564.3077127854],[550.0]
503.0,[189],[183181.37961532167],[574310.4407539847],[550.0]
508.0,[193],[185734.2821527617],[582314.4928625734],[552.0]
515.0,[194],[185734.2821527617],[582314.4928625734],[554.0]
520.0,[195],[185734.2821527617],[582314.4928625734],[554.0]
527.0,[200],[188079.46132256513],[589667.2548610636],[593.0]
532.0,[201],[188079.46132256513],[589667.2548610636],[593.0]
539.0,[205],[190055.70960421546],[595863.3134199394],[612.0]
544.0,[206],[190055.70960421546],[595863.3134199394],[612.0]
551.0,[208],[190055.70960421546],[595863.3134199394],[623.0]
558.0,[211],[196360.39578740936],[615630.4710986037],[639.0]
563.0,[213],[199769.6552363313],[626317.9951089034],[722.0]
570.0,[216],[201900.31304570363],[632998.0773554912],[723.0]
575.0,[218],[207236.69145426297],[649729.0378796906],[723.0]
582.0,[223],[212046.35583112633],[664808.5063498951],[788.0]
587.0,[224],[212046.35583112633],[664808.5063498951],[790.0]
594.0,[228],[219131.95362970547],[687023.9174947281],[790.0]
599.0,[229],[220421.90812839384],[691068.2388789064],[790.0]
606.0,[233],[230254.84515913695],[721896.6745058941],[804.0]
611.0,[235],[233069.1865794676],[730720.3316658691],[810.0]
618.0,[237],[238272.43922706155],[747034.0117147565],[810.0]
