step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
1779.0,[408],[509301.4772348378],[1599050.6018355251],[1582.0]
1786.0,[410],[515574.3441929253],[1618715.4676311084],[1584.0]
1793.0,[412],[518632.7565418335],[1628304.2569655478],[1585.0]
1800.0,[416],[522305.89291511255],[1639820.4098505352],[1657.0]
1807.0,[417],[525901.9170320234],[1651095.0000034831],[1705.0]
1812.0,[418],[526880.1832027066],[1654161.7311629527],[1724.0]
1819.0,[420],[528460.7023663985],[1659116.34994296],[1758.0]
1824.0,[420],[528460.7023663985],[1659116.34994296],[1758.0]
1831.0,[420],[528460.7023663985],[1659116.34994296],[1758.0]
1838.0,[422],[530662.9310060329],[1666020.7228845651],[1816.0]
1845.0,[423],[530662.9310060329],[1666020.7228845651],[1841.0]
1852.0,[425],[533005.349064253],[1673364.8104528948],[1864.0]
1859.0,[425],[533005.349064253],[1673364.8104528948],[1864.0]
1866.0,[425],[533005.349064253],[1673364.8104528948],[1864.0]
1873.0,[426],[535252.9166506735],[1680410.9858431264],[1864.0]
1880.0,[426],[535252.9166506735],[1680410.9858431264],[1864.0]
1887.0,[427],[535252.9166506735],[1680410.9858431264],[1865.0]
1892.0,[427],[535252.9166506735],[1680410.9858431264],[1865.0]
1899.0,[428],[547405.4325312275],[1718507.068781815],[1865.0]
1904.0,[428],[547405.4325312275],[1718507.068781815],[1865.0]
1911.0,[428],[547405.4325312275],[1718507.068781815],[1865.0]
1918.0,[428],[547405.4325312275],[1718507.068781815],[1865.0]
1925.0,[430],[551635.0293696229],[1731766.439817914],[1865.0]
1932.0,[431],[554209.340851469],[1739836.8265217768],[1865.0]
1939.0,[433],[554209.340851469],[1739836.8265217768],[1865.0]
1946.0,[434],[556557.8801467402],[1747200.149765419],[1865.0]
1953.0,[437],[562302.9880766275],[1765212.6316066706],[1865.0]
1960.0,[437],[562302.9880766275],[1765212.6316066706],[1865.0]
1965.0,[437],[562302.9880766275],[1765212.6316066706],[1865.0]
1972.0,[439],[562302.9880766275],[1765212.6316066706],[1865.0]
1979.0,[441],[577526.6433214038],[1813524.2927777637],[1866.0]
1984.0,[444],[579679.9005401388],[1820275.251986341],[1866.0]
1991.0,[446],[585249.967751396],[1837736.9664515848],[1870.0]
1996.0,[448],[587676.0946219644],[1845343.5390358448],[1870.0]
2003.0,[449],[590471.9504100787],[1854109.3305688773],[1870.0]
2008.0,[450],[592420.3810914863],[1860218.1499496938],[1870.0]
2015.0,[451],[593665.8947145458],[1864123.2092391427],[1870.0]
2022.0,[453],[597720.720543625],[1876836.177873832],[1877.0]
2029.0,[455],[598942.3058360923],[1880666.1142574311],[1879.0]
2036.0,[458],[603487.8275917216],[1894917.4757421107],[1881.0]
2041.0,[462],[607311.8203336562],[1906906.733057218],[1881.0]
2048.0,[466],[607311.8203336562],[1906906.733057218],[1881.0]
2053.0,[468],[607311.8203336562],[1906906.733057218],[1932.0]
2060.0,[471],[607311.8203336562],[1906906.733057218],[1963.0]
2067.0,[474],[613054.914232854],[1924912.766080002],[1963.0]
2074.0,[475],[613054.914232854],[1924912.766080002],[1963.0]
2081.0,[476],[614643.9512463855],[1929894.8036095616],[1963.0]
2088.0,[480],[620414.1704078935],[1947986.0214299986],[1983.0]
2093.0,[482],[620414.1704078935],[1947986.0214299986],[1983.0]
2100.0,[484],[620414.1704078935],[1947986.0214299986],[1993.0]
2105.0,[487],[625672.0405783475],[1964470.1991941535],[1993.0]
2112.0,[493],[652894.60669462],[2050746.825765602],[1997.0]
