step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
2315.0,[609],[691448.3309853334],[2173355.1044800663],[2450.0]
2322.0,[612],[691448.3309853334],[2173355.1044800663],[2507.0]
2327.0,[615],[691448.3309853334],[2173355.1044800663],[2516.0]
2334.0,[619],[700827.105784745],[2202757.4315099414],[2572.0]
2341.0,[623],[707322.3074653156],[2223121.7323025973],[2608.0]
2348.0,[626],[711436.7539911253],[2236021.740428558],[2614.0]
2355.0,[630],[711436.7539911253],[2236021.740428558],[2646.0]
2362.0,[631],[711436.7539911253],[2236021.740428558],[2646.0]
2367.0,[635],[711436.7539911253],[2236021.740428558],[2659.0]
2374.0,[642],[716399.7701121593],[2251581.826532796],[2705.0]
2379.0,[645],[719483.6359628304],[2261250.556705195],[2735.0]
2386.0,[652],[727879.0111297442],[2287569.594519504],[2760.0]
2393.0,[656],[729418.8849848083],[2292397.2501843423],[2817.0]
2398.0,[659],[749754.9513984851],[2356981.804778261],[2824.0]
2405.0,[660],[749754.9513984851],[2356981.804778261],[2824.0]
2410.0,[663],[751312.8735292676],[2361866.2876908868],[2824.0]
2417.0,[667],[754071.0032162536],[2370513.8035417297],[2824.0]
2424.0,[673],[762150.0201491129],[2395843.871401702],[2827.0]
2429.0,[677],[767160.8740739789],[2411554.287934515],[2827.0]
2436.0,[686],[772702.8486764902],[2428929.046766683],[2910.0]
2441.0,[687],[772702.8486764902],[2428929.046766683],[2910.0]
2448.0,[691],[773779.2509601053],[2432303.8129026834],[2983.0]
2453.0,[693],[776439.6987036795],[2440645.041014306],[3024.0]
2460.0,[696],[779531.278221564],[2450338.0019072476],[3083.0]
2465.0,[699],[786680.9222672229],[2472754.207725255],[3144.0]
2472.0,[701],[795463.8253414285],[2500289.120900547],[3180.0]
2477.0,[704],[796545.6636688799],[2503680.9371284503],[3180.0]
2484.0,[710],[800763.8459360597],[2516906.008109248],[3274.0]
2489.0,[713],[807442.6327208874],[2537845.934189537],[3299.0]
2496.0,[715],[808052.8534105812],[2539759.074046557],[3299.0]
2501.0,[715],[808052.8534105812],[2539759.074046557],[3299.0]
2508.0,[716],[811511.5312224962],[2550603.013346761],[3315.0]
2513.0,[722],[823875.9251101883],[2589368.81703401],[3370.0]
2520.0,[727],[824568.264227006],[2591539.432430126],[3393.0]
2525.0,[729],[824568.264227006],[2591539.432430126],[3398.0]
2532.0,[732],[826511.2671646681],[2597631.145183397],[3398.0]
2537.0,[734],[826511.2671646681],[2597631.145183397],[3398.0]
2544.0,[737],[826511.2671646681],[2597631.145183397],[3398.0]
2549.0,[738],[833102.1324573501],[2618292.3844336835],[3398.0]
2556.0,[739],[834943.9848854181],[2624067.0931374347],[3406.0]
2561.0,[741],[835394.0317442522],[2625478.0406031962],[3406.0]
2568.0,[742],[837614.0794498308],[2632438.4800374],[3411.0]
2575.0,[744],[839849.2849587849],[2639446.4227698916],[3464.0]
2580.0,[745],[839849.2849587849],[2639446.4227698916],[3464.0]
2587.0,[751],[842208.473388802],[2646842.3863431015],[3499.0]
2592.0,[754],[843733.767211794],[2651624.4548062123],[3503.0]
2599.0,[757],[844400.3894543069],[2653714.4123960547],[3507.0]
2604.0,[760],[857181.3146413561],[2694344.4236406093],[3507.0]
2611.0,[765],[865564.1952831377],[2720626.0438234666],[3554.0]
2616.0,[768],[869899.3204145262],[2734217.3828589167],[3567.0]
2623.0,[772],[876658.596611196],[2755409.501949315],[3567.0]
2628.0,[774],[882653.0464819947],[2774201.106109966],[3567.0]
2635.0,[777],[890953.174141344],[2800224.4220257187],[3569.0]
2640.0,[781],[892344.6126131818],[2804586.8955189986],[3574.0]
2647.0,[782],[892344.6126131818],[2804586.8955189986],[3574.0]
2652.0,[785],[892344.6126131818],[2804586.8955189986],[3574.0]
