step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
0.0,[0],[0.0],[0.0],[0.0]
7.0,[0],[0.0],[0.0],[0.0]
12.0,[0],[0.0],[0.0],[0.0]
19.0,[0],[0.0],[0.0],[0.0]
26.0,[0],[0.0],[0.0],[0.0]
33.0,[1],[0.0],[0.0],[0.0]
38.0,[2],[2749.757200629634],[8621.25239346401],[0.0]
45.0,[4],[2749.757200629634],[8621.25239346401],[0.0]
50.0,[4],[2749.757200629634],[8621.25239346401],[0.0]
57.0,[7],[8530.756305608691],[26746.265215703745],[7.0]
64.0,[9],[8530.756305608691],[26746.265215703745],[7.0]
69.0,[10],[8530.756305608691],[26746.265215703745],[7.0]
76.0,[11],[8530.756305608691],[26746.265215703745],[7.0]
81.0,[12],[8530.756305608691],[26746.265215703745],[7.0]
88.0,[12],[8530.756305608691],[26746.265215703745],[7.0]
95.0,[15],[9359.351671131437],[29343.940078884425],[8.0]
102.0,[16],[10240.639045823558],[32106.964300189415],[8.0]
107.0,[20],[13322.707451895609],[41770.09528462275],[10.0]
114.0,[21],[20539.71788922114],[64394.437134322536],[10.0]
119.0,[23],[24772.39193433741],[77665.10282549718],[10.0]
126.0,[25],[31337.75524339184],[98249.46653109179],[14.0]
133.0,[27],[33055.49414381598],[103634.79397014675],[15.0]
138.0,[30],[33899.49061044701],[106280.897354869],[23.0]
145.0,[34],[38424.81331522459],[120480.72932978134],[30.0]
150.0,[37],[43206.48688429134],[135498.0227901217],[30.0]
157.0,[38],[43206.48688429134],[135498.0227901217],[30.0]
162.0,[39],[43206.48688429134],[135498.0227901217],[30.0]
169.0,[42],[43206.48688429134],[135498.0227901217],[30.0]
174.0,[43],[43206.48688429134],[135498.0227901217],[30.0]
181.0,[44],[45988.187344904836],[144218.60708087945],[30.0]
188.0,[44],[45988.187344904836],[144218.60708087945],[30.0]
195.0,[46],[46836.90245740114],[146879.48233236923],[30.0]
202.0,[48],[49636.69406596406],[155657.60229109746],[49.0]
209.0,[51],[53827.36961321609],[168796.056471715],[51.0]
216.0,[53],[54418.50383912349],[170649.35984846135],[51.0]
223.0,[53],[54418.50383912349],[170649.35984846135],[51.0]
228.0,[53],[54418.50383912349],[170649.35984846135],[51.0]
235.0,[56],[59601.456541881955],[186899.34979801724],[51.0]
242.0,[59],[60486.37434880671],[189673.8308663551],[64.0]
247.0,[64],[62513.705788844185],[196029.94131027468],[66.0]
254.0,[66],[65980.25958191333],[206898.5949929844],[72.0]
261.0,[71],[72842.2910437023],[228413.1063589713],[72.0]
268.0,[72],[72842.2910437023],[228413.1063589713],[72.0]
273.0,[74],[74686.91599798585],[234196.4828505548],[78.0]
280.0,[77],[74686.91599798585],[234196.4828505548],[78.0]
285.0,[78],[75678.79962065583],[237306.2904554528],[79.0]
292.0,[80],[75678.79962065583],[237306.2904554528],[90.0]
297.0,[84],[81176.88408781857],[254544.20473522216],[97.0]
304.0,[87],[81176.88408781857],[254544.20473522216],[104.0]
309.0,[89],[82075.39881784447],[257361.23619464782],[106.0]
316.0,[92],[82075.39881784447],[257361.23619464782],[107.0]
321.0,[95],[84377.16681738156],[264577.9117666386],[121.0]
328.0,[100],[84377.16681738156],[264577.9117666386],[149.0]
333.0,[102],[85293.78433607711],[267451.70342450554],[197.0]
340.0,[106],[86456.596142399],[271097.394430314],[205.0]
347.0,[108],[86456.596142399],[271097.394430314],[205.0]
352.0,[111],[87057.01458108],[272979.8018731342],[209.0]
359.0,[114],[89592.50113585155],[280929.2408395484],[210.0]
364.0,[116],[89592.50113585155],[280929.2408395484],[210.0]
371.0,[120],[92038.07358998549],[288596.78277343],[210.0]
378.0,[125],[95918.2975794566],[300762.2253643839],[320.0]
385.0,[128],[101944.63675199712],[319655.8209029634],[320.0]
392.0,[130],[105415.52144249623],[330537.91306490306],[324.0]
397.0,[136],[111338.66578555419],[349108.677745972],[421.0]
404.0,[138],[111338.66578555419],[349108.677745972],[424.0]
409.0,[140],[112670.13476397106],[353283.15051258344],[429.0]
416.0,[146],[122695.36903003886],[384714.0299333546],[432.0]
423.0,[149],[126890.73256241316],[397867.7392288936],[433.0]
428.0,[150],[126890.73256241316],[397867.7392288936],[433.0]
435.0,[152],[134072.1356251679],[420383.5055800279],[463.0]
440.0,[156],[137741.80396136356],[431888.8556716587],[463.0]
447.0,[161],[140974.1011209367],[442022.9080761621],[463.0]
454.0,[164],[141722.285685281],[444368.47655902826],[464.0]
459.0,[167],[143373.74854485327],[449546.22201949835],[516.0]
466.0,[172],[146439.6419420232],[459157.3370427182],[529.0]
471.0,[174],[146439.6419420232],[459157.3370427182],[529.0]
478.0,[177],[148936.70824689127],[466986.312389616],[543.0]
485.0,[178],[151332.21889203644],[474496.90022692486],[543.0]
490.0,[179],[154492.68914585508],[484405.8735877868],[543.0]
497.0,[186],[158927.00521712948],[498308.58403737354],[544.0]
502.0,[187],[159455.11639449935],[499964.28897128435],[544.0]
509.0,[191],[165582.1839380793],[519174.17165179516],[576.0]
516.0,[194],[169393.95465847303],[531125.1252618355],[576.0]
521.0,[196],[172878.09691119796],[542047.6377418282],[619.0]
528.0,[198],[173434.6139928167],[543792.3674592883],[636.0]
533.0,[198],[173434.6139928167],[543792.3674592883],[636.0]
540.0,[200],[173434.6139928167],[543792.3674592883],[638.0]
547.0,[202],[173893.99815665113],[545232.8877257308],[642.0]
554.0,[205],[177095.38361067668],[555270.1607670243],[656.0]
561.0,[206],[181581.6917999029],[569334.0137464182],[656.0]
566.0,[207],[181581.6917999029],[569334.0137464182],[656.0]
573.0,[208],[181581.6917999029],[569334.0137464182],[656.0]
578.0,[210],[181581.6917999029],[569334.0137464182],[656.0]
585.0,[211],[187965.22073367014],[589348.2867925696],[656.0]
592.0,[212],[187965.22073367014],[589348.2867925696],[656.0]
597.0,[218],[191150.9507751283],[599336.3524085494],[667.0]
604.0,[219],[191150.9507751283],[599336.3524085494],[673.0]
609.0,[223],[192125.7141907983],[602392.4517827631],[673.0]
616.0,[227],[192125.7141907983],[602392.4517827631],[830.0]
623.0,[228],[192125.7141907983],[602392.4517827631],[903.0]
630.0,[229],[192125.7141907983],[602392.4517827631],[979.0]
635.0,[230],[192125.7141907983],[602392.4517827631],[1020.0]
642.0,[231],[192125.7141907983],[602392.4517827631],[1020.0]
