step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
125.0,[94],[69106.17352246263],[216661.04200243688],[0.0]
126.0,[94],[69106.17352246263],[216661.04200243688],[0.0]
127.0,[94],[69106.17352246263],[216661.04200243688],[0.0]
128.0,[94],[69106.17352246263],[216661.04200243688],[0.0]
129.0,[94],[69106.17352246263],[216661.04200243688],[0.0]
130.0,[96],[70661.10066557968],[221536.06154212847],[0.0]
131.0,[96],[70661.10066557968],[221536.06154212847],[0.0]
132.0,[99],[72924.51527269087],[228632.31860724892],[0.0]
133.0,[100],[73642.07483117137],[230882.00216447053],[0.0]
134.0,[100],[73642.07483117137],[230882.00216447053],[0.0]
135.0,[100],[73642.07483117137],[230882.00216447053],[0.0]
136.0,[100],[73642.07483117137],[230882.00216447053],[0.0]
137.0,[100],[73642.07483117137],[230882.00216447053],[0.0]
138.0,[100],[73642.07483117137],[230882.00216447053],[0.0]
139.0,[100],[73642.07483117137],[230882.00216447053],[0.0]
140.0,[100],[73642.07483117137],[230882.00216447053],[0.0]
141.0,[100],[73642.07483117137],[230882.00216447053],[0.0]
142.0,[100],[73642.07483117137],[230882.00216447053],[0.0]
143.0,[100],[73642.07483117137],[230882.00216447053],[0.0]
144.0,[108],[79548.27004789228],[249399.0774537352],[0.0]
145.0,[112],[82275.24747832454],[257948.58329246685],[0.0]
146.0,[112],[82275.24747832454],[257948.58329246685],[0.0]
147.0,[112],[82275.24747832454],[257948.58329246685],[0.0]
148.0,[112],[82275.24747832454],[257948.58329246685],[0.0]
149.0,[112],[82275.24747832454],[257948.58329246685],[0.0]
150.0,[112],[82275.24747832454],[257948.58329246685],[0.0]
151.0,[112],[82275.24747832454],[257948.58329246685],[0.0]
152.0,[112],[82275.24747832454],[257948.58329246685],[0.0]
153.0,[112],[82275.24747832454],[257948.58329246685],[0.0]
154.0,[112],[82275.24747832454],[257948.58329246685],[0.0]
155.0,[112],[82275.24747832454],[257948.58329246685],[0.0]
156.0,[115],[84601.5344164752],[265241.9742190262],[0.0]
157.0,[116],[85319.57547007936],[267493.1675189224],[0.0]
158.0,[116],[85319.57547007936],[267493.1675189224],[0.0]
159.0,[118],[86897.29749343339],[272439.6561415225],[0.0]
160.0,[118],[86897.29749343339],[272439.6561415225],[0.0]
161.0,[118],[86897.29749343339],[272439.6561415225],[0.0]
162.0,[118],[86897.29749343339],[272439.6561415225],[0.0]
163.0,[118],[86897.29749343339],[272439.6561415225],[0.0]
164.0,[118],[86897.29749343339],[272439.6561415225],[0.0]
165.0,[118],[86897.29749343339],[272439.6561415225],[0.0]
166.0,[118],[86897.29749343339],[272439.6561415225],[0.0]
167.0,[118],[86897.29749343339],[272439.6561415225],[0.0]
168.0,[124],[91473.9584070121],[286788.4187821644],[0.0]
169.0,[126],[92902.45469493112],[291267.0158358263],[0.0]
170.0,[126],[92902.45469493112],[291267.0158358263],[0.0]
171.0,[126],[92902.45469493112],[291267.0158358263],[0.0]
172.0,[126],[92902.45469493112],[291267.0158358263],[0.0]
173.0,[128],[94352.50270895797],[295813.18859951786],[0.0]
174.0,[128],[94352.50270895797],[295813.18859951786],[0.0]
175.0,[128],[94352.50270895797],[295813.18859951786],[0.0]
176.0,[128],[94352.50270895797],[295813.18859951786],[0.0]
177.0,[128],[94352.50270895797],[295813.18859951786],[0.0]
178.0,[128],[94352.50270895797],[295813.18859951786],[0.0]
179.0,[128],[94352.50270895797],[295813.18859951786],[0.0]
180.0,[133],[98164.63813708376],[307765.00776191807],[0.0]
181.0,[134],[98844.88202235063],[309897.6820788888],[0.0]
182.0,[134],[98844.88202235063],[309897.6820788888],[0.0]
183.0,[134],[98844.88202235063],[309897.6820788888],[0.0]
184.0,[134],[98844.88202235063],[309897.6820788888],[0.0]
185.0,[134],[98844.88202235063],[309897.6820788888],[0.0]
186.0,[134],[98844.88202235063],[309897.6820788888],[0.0]
187.0,[134],[98844.88202235063],[309897.6820788888],[0.0]
188.0,[136],[100454.28084306252],[314943.4886111769],[0.0]
189.0,[136],[100454.28084306252],[314943.4886111769],[0.0]
190.0,[136],[100454.28084306252],[314943.4886111769],[0.0]
191.0,[136],[100454.28084306252],[314943.4886111769],[0.0]
192.0,[141],[104343.48343780922],[327136.942274005],[0.0]
193.0,[144],[106424.86418456225],[333662.4223889714],[0.0]
194.0,[144],[106424.86418456225],[333662.4223889714],[0.0]
