step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
0.0,[8],[6016.912503688834],[18864.219473258858],[0.0]
1.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
2.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
3.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
4.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
5.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
6.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
7.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
8.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
9.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
10.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
11.0,[16],[11816.074536841457],[37045.66860528344],[0.0]
12.0,[18],[13180.721064182406],[41324.058228660564],[0.0]
13.0,[18],[13180.721064182406],[41324.058228660564],[0.0]
14.0,[18],[13180.721064182406],[41324.058228660564],[0.0]
15.0,[18],[13180.721064182406],[41324.058228660564],[0.0]
16.0,[18],[13180.721064182406],[41324.058228660564],[0.0]
17.0,[18],[13180.721064182406],[41324.058228660564],[0.0]
18.0,[18],[13180.721064182406],[41324.058228660564],[0.0]
19.0,[18],[13180.721064182406],[41324.058228660564],[0.0]
20.0,[18],[13180.721064182406],[41324.058228660564],[0.0]
21.0,[20],[14656.309118101814],[45950.31503854293],[0.0]
22.0,[22],[16021.322678324572],[50229.85376091383],[0.0]
23.0,[22],[16021.322678324572],[50229.85376091383],[0.0]
24.0,[24],[17465.797190788297],[54758.55423711053],[0.0]
25.0,[24],[17465.797190788297],[54758.55423711053],[0.0]
26.0,[24],[17465.797190788297],[54758.55423711053],[0.0]
27.0,[24],[17465.797190788297],[54758.55423711053],[0.0]
28.0,[24],[17465.797190788297],[54758.55423711053],[0.0]
29.0,[24],[17465.797190788297],[54758.55423711053],[0.0]
30.0,[24],[17465.797190788297],[54758.55423711053],[0.0]
31.0,[26],[18874.35057294501],[59174.62187621148],[0.0]
32.0,[28],[20211.346921070908],[63366.29298583651],[0.0]
33.0,[28],[20211.346921070908],[63366.29298583651],[0.0]
34.0,[28],[20211.346921070908],[63366.29298583651],[0.0]
35.0,[28],[20211.346921070908],[63366.29298583651],[0.0]
36.0,[33],[24134.885462170972],[75667.40223210769],[0.0]
37.0,[34],[24821.835710231157],[77821.10654861895],[0.0]
