step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
0.0,[0],[0.0],[0.0],[0.0]
1.0,[0],[0.0],[0.0],[0.0]
2.0,[0],[0.0],[0.0],[0.0]
3.0,[0],[0.0],[0.0],[0.0]
4.0,[0],[0.0],[0.0],[0.0]
5.0,[0],[0.0],[0.0],[0.0]
6.0,[0],[0.0],[0.0],[0.0]
7.0,[0],[0.0],[0.0],[0.0]
8.0,[0],[0.0],[0.0],[0.0]
9.0,[0],[0.0],[0.0],[0.0]
10.0,[0],[0.0],[0.0],[0.0]
11.0,[0],[0.0],[0.0],[0.0]
12.0,[0],[0.0],[0.0],[0.0]
13.0,[0],[0.0],[0.0],[0.0]
14.0,[0],[0.0],[0.0],[0.0]
15.0,[0],[0.0],[0.0],[0.0]
16.0,[0],[0.0],[0.0],[0.0]
17.0,[0],[0.0],[0.0],[0.0]
18.0,[0],[0.0],[0.0],[0.0]
19.0,[0],[0.0],[0.0],[0.0]
20.0,[0],[0.0],[0.0],[0.0]
21.0,[0],[0.0],[0.0],[0.0]
22.0,[0],[0.0],[0.0],[0.0]
23.0,[0],[0.0],[0.0],[0.0]
24.0,[1],[5709.848814158972],[17899.773265253145],[0.0]
25.0,[1],[5709.848814158972],[17899.773265253145],[0.0]
26.0,[1],[5709.848814158972],[17899.773265253145],[0.0]
27.0,[1],[5709.848814158972],[17899.773265253145],[0.0]
28.0,[1],[5709.848814158972],[17899.773265253145],[0.0]
29.0,[1],[5709.848814158972],[17899.773265253145],[0.0]
30.0,[2],[6453.238372747437],[20230.446531370642],[0.0]
31.0,[2],[6453.238372747437],[20230.446531370642],[0.0]
32.0,[2],[6453.238372747437],[20230.446531370642],[0.0]
33.0,[2],[6453.238372747437],[20230.446531370642],[0.0]
34.0,[2],[6453.238372747437],[20230.446531370642],[0.0]
35.0,[2],[6453.238372747437],[20230.446531370642],[0.0]
36.0,[2],[6453.238372747437],[20230.446531370642],[0.0]
37.0,[3],[6990.801900886188],[21915.765781985945],[0.0]
38.0,[4],[11674.172846050706],[36599.51978066694],[0.0]
39.0,[4],[11674.172846050706],[36599.51978066694],[0.0]
40.0,[4],[11674.172846050706],[36599.51978066694],[0.0]
41.0,[4],[11674.172846050706],[36599.51978066694],[0.0]
42.0,[4],[11674.172846050706],[36599.51978066694],[0.0]
43.0,[6],[16403.86532249841],[51428.41126723984],[0.0]
44.0,[6],[16403.86532249841],[51428.41126723984],[0.0]
45.0,[6],[16403.86532249841],[51428.41126723984],[0.0]
46.0,[6],[16403.86532249841],[51428.41126723984],[0.0]
47.0,[6],[16403.86532249841],[51428.41126723984],[0.0]
48.0,[6],[16403.86532249841],[51428.41126723984],[0.0]
49.0,[6],[16403.86532249841],[51428.41126723984],[0.0]
