step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
0.0,[8],[6016.912503688834],[18864.219473258858],[0.0]
1.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
2.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
3.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
4.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
5.0,[12],[8787.774604096461],[27551.339197582303],[0.0]
6.0,[14],[10354.223075001608],[32462.48237713652],[0.0]
7.0,[14],[10354.223075001608],[32462.48237713652],[0.0]
8.0,[14],[10354.223075001608],[32462.48237713652],[0.0]
9.0,[14],[10354.223075001608],[32462.48237713652],[0.0]
10.0,[14],[10354.223075001608],[32462.48237713652],[0.0]
11.0,[16],[11816.074536841457],[37045.66860528344],[0.0]
12.0,[16],[11816.074536841457],[37045.66860528344],[0.0]
13.0,[16],[11816.074536841457],[37045.66860528344],[0.0]
14.0,[16],[11816.074536841457],[37045.66860528344],[0.0]
15.0,[16],[11816.074536841457],[37045.66860528344],[0.0]
16.0,[18],[13245.59232824706],[41527.472150681104],[0.0]
17.0,[18],[13245.59232824706],[41527.472150681104],[0.0]
18.0,[22],[16290.476622421917],[51073.79992381226],[0.0]
19.0,[22],[16290.476622421917],[51073.79992381226],[0.0]
20.0,[22],[16290.476622421917],[51073.79992381226],[0.0]
21.0,[24],[17734.951134885643],[55602.50040000896],[0.0]
22.0,[24],[17734.951134885643],[55602.50040000896],[0.0]
23.0,[24],[17734.951134885643],[55602.50040000896],[0.0]
24.0,[24],[17734.951134885643],[55602.50040000896],[0.0]
25.0,[24],[17734.951134885643],[55602.50040000896],[0.0]
26.0,[26],[19130.545657205388],[59977.93467501153],[0.0]
27.0,[26],[19130.545657205388],[59977.93467501153],[0.0]
28.0,[26],[19130.545657205388],[59977.93467501153],[0.0]
29.0,[26],[19130.545657205388],[59977.93467501153],[0.0]
30.0,[26],[19130.545657205388],[59977.93467501153],[0.0]
31.0,[28],[20573.95549580899],[64503.297447816054],[0.0]
32.0,[28],[20573.95549580899],[64503.297447816054],[0.0]
33.0,[28],[20573.95549580899],[64503.297447816054],[0.0]
34.0,[28],[20573.95549580899],[64503.297447816054],[0.0]
35.0,[28],[20573.95549580899],[64503.297447816054],[0.0]
36.0,[36],[26730.918953468736],[83806.63605131264],[0.0]
37.0,[40],[29542.68798256384],[92622.03434073878],[0.0]
