step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
3210.0,[2103],[1548760.844605297],[4855627.741441463],[0.0]
3211.0,[2104],[1549551.8502386059],[4858107.580123023],[0.0]
3212.0,[2104],[1549551.8502386059],[4858107.580123023],[0.0]
3213.0,[2104],[1549551.8502386059],[4858107.580123023],[0.0]
3214.0,[2104],[1549551.8502386059],[4858107.580123023],[0.0]
3215.0,[2104],[1549551.8502386059],[4858107.580123023],[0.0]
3216.0,[2110],[1554055.205785729],[4872226.494205713],[0.0]
3217.0,[2112],[1555451.3433896448],[4876603.631427435],[0.0]
3218.0,[2112],[1555451.3433896448],[4876603.631427435],[0.0]
3219.0,[2112],[1555451.3433896448],[4876603.631427435],[0.0]
3220.0,[2112],[1555451.3433896448],[4876603.631427435],[0.0]
3221.0,[2112],[1555451.3433896448],[4876603.631427435],[0.0]
3222.0,[2112],[1555451.3433896448],[4876603.631427435],[0.0]
3223.0,[2112],[1555451.3433896448],[4876603.631427435],[0.0]
3224.0,[2112],[1555451.3433896448],[4876603.631427435],[0.0]
3225.0,[2112],[1555451.3433896448],[4876603.631427435],[0.0]
3226.0,[2112],[1555451.3433896448],[4876603.631427435],[0.0]
3227.0,[2112],[1555451.3433896448],[4876603.631427435],[0.0]
3228.0,[2114],[1557000.1778714585],[4881459.547238596],[0.0]
3229.0,[2117],[1559230.7345546721],[4888452.623735828],[0.0]
3230.0,[2117],[1559230.7345546721],[4888452.623735828],[0.0]
3231.0,[2118],[1560015.9756588354],[4890914.3914367715],[0.0]
3232.0,[2118],[1560015.9756588354],[4890914.3914367715],[0.0]
3233.0,[2118],[1560015.9756588354],[4890914.3914367715],[0.0]
3234.0,[2118],[1560015.9756588354],[4890914.3914367715],[0.0]
3235.0,[2119],[1560801.66491981],[4893377.564044395],[0.0]
3236.0,[2120],[1561613.351399971],[4895922.234516872],[0.0]
3237.0,[2120],[1561613.351399971],[4895922.234516872],[0.0]
3238.0,[2120],[1561613.351399971],[4895922.234516872],[0.0]
3239.0,[2120],[1561613.351399971],[4895922.234516872],[0.0]
3240.0,[2126],[1566009.5668553272],[4909705.220586253],[0.0]
3241.0,[2130],[1568714.7242934455],[4918186.308194292],[0.0]
3242.0,[2130],[1568714.7242934455],[4918186.308194292],[0.0]
3243.0,[2130],[1568714.7242934455],[4918186.308194292],[0.0]
3244.0,[2130],[1568714.7242934455],[4918186.308194292],[0.0]
3245.0,[2130],[1568714.7242934455],[4918186.308194292],[0.0]
3246.0,[2130],[1568714.7242934455],[4918186.308194292],[0.0]
3247.0,[2130],[1568714.7242934455],[4918186.308194292],[0.0]
3248.0,[2130],[1568714.7242934455],[4918186.308194292],[0.0]
3249.0,[2130],[1568714.7242934455],[4918186.308194292],[0.0]
3250.0,[2130],[1568714.7242934455],[4918186.308194292],[0.0]
3251.0,[2130],[1568714.7242934455],[4918186.308194292],[0.0]
3252.0,[2132],[1570190.5566594282],[4922813.328106963],[0.0]
3253.0,[2134],[1571561.9325299382],[4927112.813741096],[0.0]
3254.0,[2134],[1571561.9325299382],[4927112.813741096],[0.0]
3255.0,[2134],[1571561.9325299382],[4927112.813741096],[0.0]
3256.0,[2134],[1571561.9325299382],[4927112.813741096],[0.0]
3257.0,[2134],[1571561.9325299382],[4927112.813741096],[0.0]
3258.0,[2134],[1571561.9325299382],[4927112.813741096],[0.0]
3259.0,[2134],[1571561.9325299382],[4927112.813741096],[0.0]
3260.0,[2134],[1571561.9325299382],[4927112.813741096],[0.0]
3261.0,[2134],[1571561.9325299382],[4927112.813741096],[0.0]
3262.0,[2134],[1571561.9325299382],[4927112.813741096],[0.0]
3263.0,[2134],[1571561.9325299382],[4927112.813741096],[0.0]
3264.0,[2140],[1576161.8291203736],[4941534.401084743],[0.0]
3265.0,[2142],[1577587.7135150225],[4946004.784097202],[0.0]
3266.0,[2142],[1577587.7135150225],[4946004.784097202],[0.0]
3267.0,[2142],[1577587.7135150225],[4946004.784097202],[0.0]
3268.0,[2142],[1577587.7135150225],[4946004.784097202],[0.0]
3269.0,[2142],[1577587.7135150225],[4946004.784097202],[0.0]
3270.0,[2142],[1577587.7135150225],[4946004.784097202],[0.0]
3271.0,[2142],[1577587.7135150225],[4946004.784097202],[0.0]
3272.0,[2142],[1577587.7135150225],[4946004.784097202],[0.0]
3273.0,[2142],[1577587.7135150225],[4946004.784097202],[0.0]
3274.0,[2142],[1577587.7135150225],[4946004.784097202],[0.0]
3275.0,[2142],[1577587.7135150225],[4946004.784097202],[0.0]
3276.0,[2147],[1581343.822066852],[4957780.830519232],[0.0]
3277.0,[2150],[1583521.2285115647],[4964607.26472645],[0.0]
3278.0,[2150],[1583521.2285115647],[4964607.26472645],[0.0]
3279.0,[2150],[1583521.2285115647],[4964607.26472645],[0.0]
3280.0,[2150],[1583521.2285115647],[4964607.26472645],[0.0]
3281.0,[2151],[1584311.1275197468],[4967083.634292538],[0.0]
3282.0,[2151],[1584311.1275197468],[4967083.634292538],[0.0]
3283.0,[2151],[1584311.1275197468],[4967083.634292538],[0.0]
3284.0,[2151],[1584311.1275197468],[4967083.634292538],[0.0]
