step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
4694.0,[2787],[2026826.5770067207],[6354437.514820314],[0.0]
4695.0,[2787],[2026826.5770067207],[6354437.514820314],[0.0]
4696.0,[2787],[2026826.5770067207],[6354437.514820314],[0.0]
4697.0,[2787],[2026826.5770067207],[6354437.514820314],[0.0]
4698.0,[2787],[2026826.5770067207],[6354437.514820314],[0.0]
4699.0,[2787],[2026826.5770067207],[6354437.514820314],[0.0]
4700.0,[2787],[2026826.5770067207],[6354437.514820314],[0.0]
4701.0,[2789],[2028269.420081444],[6358961.099237813],[0.0]
4702.0,[2792],[2030360.6834173116],[6365517.4423318915],[0.0]
4703.0,[2793],[2031130.4672897826],[6367930.753998693],[0.0]
4704.0,[2793],[2031130.4672897826],[6367930.753998693],[0.0]
4705.0,[2793],[2031130.4672897826],[6367930.753998693],[0.0]
4706.0,[2794],[2031900.5064041896],[6370344.865807039],[0.0]
4707.0,[2794],[2031900.5064041896],[6370344.865807039],[0.0]
4708.0,[2795],[2032720.5585929877],[6372915.761804615],[0.0]
4709.0,[2795],[2032720.5585929877],[6372915.761804615],[0.0]
4710.0,[2795],[2032720.5585929877],[6372915.761804615],[0.0]
4711.0,[2797],[2034219.2025725865],[6377614.308939751],[0.0]
4712.0,[2799],[2035586.1265889998],[6381899.840074036],[0.0]
4713.0,[2800],[2036405.2245921672],[6384467.74480767],[0.0]
4714.0,[2800],[2036405.2245921672],[6384467.74480767],[0.0]
4715.0,[2800],[2036405.2245921672],[6384467.74480767],[0.0]
4716.0,[2802],[2037814.5778776277],[6388886.321040447],[0.0]
4717.0,[2804],[2039155.1528396003],[6393089.219545403],[0.0]
4718.0,[2804],[2039155.1528396003],[6393089.219545403],[0.0]
4719.0,[2804],[2039155.1528396003],[6393089.219545403],[0.0]
4720.0,[2804],[2039155.1528396003],[6393089.219545403],[0.0]
4721.0,[2804],[2039155.1528396003],[6393089.219545403],[0.0]
