step,agent_total_vehicles_passed,agent_total_fuel_consumption,agent_co2_emission,agent_accumulated_waiting_time
2894.0,[2252],[1885424.4444444475],[5910874.44444443],[0.0]
2895.0,[2258],[1890447.7777777808],[5926622.777777763],[0.0]
2896.0,[2258],[1890447.7777777808],[5926622.777777763],[0.0]
2897.0,[2258],[1890447.7777777808],[5926622.777777763],[0.0]
2898.0,[2263],[1894633.8888888918],[5939746.388888874],[0.0]
2899.0,[2263],[1894633.8888888918],[5939746.388888874],[0.0]
2900.0,[2263],[1894633.8888888918],[5939746.388888874],[0.0]
2901.0,[2264],[1895471.111111114],[5942371.111111096],[0.0]
2902.0,[2264],[1895471.111111114],[5942371.111111096],[0.0]
2903.0,[2264],[1895471.111111114],[5942371.111111096],[0.0]
2904.0,[2264],[1895471.111111114],[5942371.111111096],[0.0]
2905.0,[2264],[1895471.111111114],[5942371.111111096],[0.0]
2906.0,[2264],[1895471.111111114],[5942371.111111096],[0.0]
2907.0,[2264],[1895471.111111114],[5942371.111111096],[0.0]
2908.0,[2264],[1895471.111111114],[5942371.111111096],[0.0]
2909.0,[2270],[1900494.4444444473],[5958119.444444429],[0.0]
2910.0,[2270],[1900494.4444444473],[5958119.444444429],[0.0]
2911.0,[2270],[1900494.4444444473],[5958119.444444429],[0.0]
2912.0,[2272],[1902168.8888888918],[5963368.888888873],[0.0]
2913.0,[2272],[1902168.8888888918],[5963368.888888873],[0.0]
2914.0,[2272],[1902168.8888888918],[5963368.888888873],[0.0]
2915.0,[2272],[1902168.8888888918],[5963368.888888873],[0.0]
2916.0,[2276],[1905517.7777777808],[5973867.777777762],[0.0]
2917.0,[2276],[1905517.7777777808],[5973867.777777762],[0.0]
2918.0,[2276],[1905517.7777777808],[5973867.777777762],[0.0]
2919.0,[2276],[1905517.7777777808],[5973867.777777762],[0.0]
2920.0,[2276],[1905517.7777777808],[5973867.777777762],[0.0]
2921.0,[2276],[1905517.7777777808],[5973867.777777762],[0.0]
2922.0,[2276],[1905517.7777777808],[5973867.777777762],[0.0]
2923.0,[2276],[1905517.7777777808],[5973867.777777762],[0.0]
2924.0,[2281],[1909703.8888888918],[5986991.388888873],[0.0]
2925.0,[2281],[1909703.8888888918],[5986991.388888873],[0.0]
2926.0,[2281],[1909703.8888888918],[5986991.388888873],[0.0]
2927.0,[2284],[1912215.5555555585],[5994865.55555554],[0.0]
2928.0,[2284],[1912215.5555555585],[5994865.55555554],[0.0]
2929.0,[2284],[1912215.5555555585],[5994865.55555554],[0.0]
2930.0,[2284],[1912215.5555555585],[5994865.55555554],[0.0]
2931.0,[2284],[1912215.5555555585],[5994865.55555554],[0.0]
2932.0,[2284],[1912215.5555555585],[5994865.55555554],[0.0]
2933.0,[2284],[1912215.5555555585],[5994865.55555554],[0.0]
2934.0,[2288],[1915564.4444444475],[6005364.444444429],[0.0]
2935.0,[2288],[1915564.4444444475],[6005364.444444429],[0.0]
2936.0,[2288],[1915564.4444444475],[6005364.444444429],[0.0]
2937.0,[2288],[1915564.4444444475],[6005364.444444429],[0.0]
2938.0,[2293],[1919750.5555555585],[6018488.05555554],[0.0]
2939.0,[2293],[1919750.5555555585],[6018488.05555554],[0.0]
2940.0,[2293],[1919750.5555555585],[6018488.05555554],[0.0]
2941.0,[2296],[1922262.2222222253],[6026362.222222207],[0.0]
2942.0,[2296],[1922262.2222222253],[6026362.222222207],[0.0]
2943.0,[2296],[1922262.2222222253],[6026362.222222207],[0.0]
2944.0,[2296],[1922262.2222222253],[6026362.222222207],[0.0]
2945.0,[2296],[1922262.2222222253],[6026362.222222207],[0.0]
2946.0,[2296],[1922262.2222222253],[6026362.222222207],[0.0]
2947.0,[2296],[1922262.2222222253],[6026362.222222207],[0.0]
2948.0,[2296],[1922262.2222222253],[6026362.222222207],[0.0]
2949.0,[2296],[1922262.2222222253],[6026362.222222207],[0.0]
2950.0,[2296],[1922262.2222222253],[6026362.222222207],[0.0]
2951.0,[2296],[1922262.2222222253],[6026362.222222207],[0.0]
2952.0,[2303],[1928122.7777777808],[6044735.277777763],[0.0]
2953.0,[2303],[1928122.7777777808],[6044735.277777763],[0.0]
2954.0,[2303],[1928122.7777777808],[6044735.277777763],[0.0]
2955.0,[2307],[1931471.6666666698],[6055234.166666652],[0.0]
2956.0,[2307],[1931471.6666666698],[6055234.166666652],[0.0]
2957.0,[2307],[1931471.6666666698],[6055234.166666652],[0.0]
2958.0,[2307],[1931471.6666666698],[6055234.166666652],[0.0]
2959.0,[2307],[1931471.6666666698],[6055234.166666652],[0.0]
2960.0,[2307],[1931471.6666666698],[6055234.166666652],[0.0]
2961.0,[2308],[1932308.888888892],[6057858.888888874],[0.0]
2962.0,[2308],[1932308.888888892],[6057858.888888874],[0.0]
2963.0,[2308],[1932308.888888892],[6057858.888888874],[0.0]
2964.0,[2308],[1932308.888888892],[6057858.888888874],[0.0]
2965.0,[2308],[1932308.888888892],[6057858.888888874],[0.0]
2966.0,[2308],[1932308.888888892],[6057858.888888874],[0.0]
2967.0,[2314],[1937332.2222222253],[6073607.222222207],[0.0]
2968.0,[2314],[1937332.2222222253],[6073607.222222207],[0.0]
2969.0,[2314],[1937332.2222222253],[6073607.222222207],[0.0]
2970.0,[2320],[1942355.5555555585],[6089355.55555554],[0.0]
2971.0,[2320],[1942355.5555555585],[6089355.55555554],[0.0]
2972.0,[2320],[1942355.5555555585],[6089355.55555554],[0.0]
2973.0,[2320],[1942355.5555555585],[6089355.55555554],[0.0]
2974.0,[2320],[1942355.5555555585],[6089355.55555554],[0.0]
2975.0,[2320],[1942355.5555555585],[6089355.55555554],[0.0]
2976.0,[2320],[1942355.5555555585],[6089355.55555554],[0.0]
2977.0,[2320],[1942355.5555555585],[6089355.55555554],[0.0]
2978.0,[2320],[1942355.5555555585],[6089355.55555554],[0.0]
2979.0,[2320],[1942355.5555555585],[6089355.55555554],[0.0]
2980.0,[2320],[1942355.5555555585],[6089355.55555554],[0.0]
2981.0,[2326],[1947378.8888888918],[6105103.888888873],[0.0]
2982.0,[2326],[1947378.8888888918],[6105103.888888873],[0.0]
2983.0,[2327],[1948216.111111114],[6107728.611111095],[0.0]
2984.0,[2328],[1949053.3333333363],[6110353.333333317],[0.0]
2985.0,[2328],[1949053.3333333363],[6110353.333333317],[0.0]
2986.0,[2328],[1949053.3333333363],[6110353.333333317],[0.0]
2987.0,[2328],[1949053.3333333363],[6110353.333333317],[0.0]
2988.0,[2332],[1952402.2222222253],[6120852.222222206],[0.0]
2989.0,[2332],[1952402.2222222253],[6120852.222222206],[0.0]
2990.0,[2332],[1952402.2222222253],[6120852.222222206],[0.0]
2991.0,[2332],[1952402.2222222253],[6120852.222222206],[0.0]
2992.0,[2332],[1952402.2222222253],[6120852.222222206],[0.0]
2993.0,[2332],[1952402.2222222253],[6120852.222222206],[0.0]
2994.0,[2332],[1952402.2222222253],[6120852.222222206],[0.0]
2995.0,[2332],[1952402.2222222253],[6120852.222222206],[0.0]
2996.0,[2337],[1956588.3333333363],[6133975.833333317],[0.0]
2997.0,[2337],[1956588.3333333363],[6133975.833333317],[0.0]
2998.0,[2337],[1956588.3333333363],[6133975.833333317],[0.0]
2999.0,[2340],[1959100.000000003],[6141849.999999984],[0.0]
3000.0,[2340],[1959100.000000003],[6141849.999999984],[0.0]
3001.0,[2340],[1959100.000000003],[6141849.999999984],[0.0]
3002.0,[2340],[1959100.000000003],[6141849.999999984],[0.0]
3003.0,[2340],[1959100.000000003],[6141849.999999984],[0.0]
3004.0,[2340],[1959100.000000003],[6141849.999999984],[0.0]
3005.0,[2340],[1959100.000000003],[6141849.999999984],[0.0]
3006.0,[2344],[1962448.888888892],[6152348.888888873],[0.0]
3007.0,[2344],[1962448.888888892],[6152348.888888873],[0.0]
3008.0,[2344],[1962448.888888892],[6152348.888888873],[0.0]
3009.0,[2344],[1962448.888888892],[6152348.888888873],[0.0]
3010.0,[2348],[1965797.777777781],[6162847.777777762],[0.0]
3011.0,[2349],[1966635.0000000033],[6165472.499999984],[0.0]
3012.0,[2349],[1966635.0000000033],[6165472.499999984],[0.0]
3013.0,[2352],[1969146.66666667],[6173346.666666651],[0.0]
3014.0,[2352],[1969146.66666667],[6173346.666666651],[0.0]
3015.0,[2352],[1969146.66666667],[6173346.666666651],[0.0]
3016.0,[2352],[1969146.66666667],[6173346.666666651],[0.0]
3017.0,[2352],[1969146.66666667],[6173346.666666651],[0.0]
3018.0,[2352],[1969146.66666667],[6173346.666666651],[0.0]
3019.0,[2352],[1969146.66666667],[6173346.666666651],[0.0]
3020.0,[2352],[1969146.66666667],[6173346.666666651],[0.0]
3021.0,[2352],[1969146.66666667],[6173346.666666651],[0.0]
3022.0,[2352],[1969146.66666667],[6173346.666666651],[0.0]
3023.0,[2352],[1969146.66666667],[6173346.666666651],[0.0]
3024.0,[2360],[1975844.4444444478],[6194344.444444429],[0.0]
3025.0,[2360],[1975844.4444444478],[6194344.444444429],[0.0]
3026.0,[2360],[1975844.4444444478],[6194344.444444429],[0.0]
3027.0,[2364],[1979193.3333333367],[6204843.333333318],[0.0]
3028.0,[2364],[1979193.3333333367],[6204843.333333318],[0.0]
3029.0,[2364],[1979193.3333333367],[6204843.333333318],[0.0]
3030.0,[2364],[1979193.3333333367],[6204843.333333318],[0.0]
3031.0,[2364],[1979193.3333333367],[6204843.333333318],[0.0]
3032.0,[2364],[1979193.3333333367],[6204843.333333318],[0.0]
3033.0,[2364],[1979193.3333333367],[6204843.333333318],[0.0]
3034.0,[2364],[1979193.3333333367],[6204843.333333318],[0.0]
3035.0,[2364],[1979193.3333333367],[6204843.333333318],[0.0]
3036.0,[2364],[1979193.3333333367],[6204843.333333318],[0.0]
3037.0,[2364],[1979193.3333333367],[6204843.333333318],[0.0]
3038.0,[2364],[1979193.3333333367],[6204843.333333318],[0.0]
3039.0,[2371],[1985053.8888888923],[6223216.388888874],[0.0]
3040.0,[2371],[1985053.8888888923],[6223216.388888874],[0.0]
3041.0,[2371],[1985053.8888888923],[6223216.388888874],[0.0]
3042.0,[2375],[1988402.7777777812],[6233715.277777763],[0.0]
